location,year,month,min_mint,mean_mint,mean_maxt,avg_t,cum_radn,cum_rain,above_32,above_35,mean_vpd,mean_rh
harrisburg_neerec,1985,april,-0.67,10.892666666666667,22.347333333333335,16.62,590.15,150.92000000000002,0,0,0.3853553914463029,78.984
harrisburg_neerec,1985,may,7.8,14.787096774193548,25.689032258064515,20.238064516129032,649.2,108.06,0,0,0.498312830023883,78.727096774193555
harrisburg_neerec,1985,june,11.06,18.485333333333333,29.28,23.882666666666665,670.69,90.86,4,0,0.7631510967796137,74.32300000000001
harrisburg_neerec,1985,july,15.99,20.593225806451613,32.358387096774194,26.475806451612904,741.61,70.56,17,4,1.0820456854142468,69.17967741935485
harrisburg_neerec,1985,august,16.03,20.61709677419355,32.25290322580645,26.435,613.74,74.12,16,5,1.0442946094263101,70.30774193548388
harrisburg_neerec,1985,september,6.14,16.444666666666667,29.508333333333333,22.9765,519.7,64.65,10,2,1.0263342328037308,63.52
harrisburg_neerec,1986,april,2.53,10.185,23.102333333333334,16.643666666666668,590.1,134.18,0,0,0.5284615582579256,71.85933333333334
harrisburg_neerec,1986,may,6.94,16.016129032258064,26.337096774193547,21.176612903225806,614.68,143.84,0,0,0.6354734079124862,74.68322580645162
harrisburg_neerec,1986,june,16.04,20.767666666666667,30.735666666666667,25.751666666666665,676.38,102.48,13,1,0.8171369482286323,75.961
harrisburg_neerec,1986,july,20.23,23.928387096774195,36.9158064516129,30.422096774193548,778.16,49.66,30,22,1.9568743105960704,55.94451612903226
harrisburg_neerec,1986,august,10.21,19.865161290322582,32.27129032258065,26.06822580645161,652.49,81.13,21,6,1.293931403853755,61.60774193548387
harrisburg_neerec,1986,september,14.09,20.102,32.29833333333333,26.200166666666668,522.54,40.42,16,4,1.3048809650946018,61.799
harrisburg_neerec,1987,april,-3.79,8.037,22.092333333333332,15.064666666666666,627.28,49.29,0,0,0.48315845665188323,73.40066666666667
harrisburg_neerec,1987,may,12.6,18.261612903225807,27.701290322580647,22.981451612903225,695.22,123.2,0,0,0.5952491094758892,78.70225806451613
harrisburg_neerec,1987,june,12.86,20.269666666666666,30.394666666666666,25.332166666666666,708.64,100.78,7,0,0.8738065914370431,72.96966666666667
harrisburg_neerec,1987,july,15.69,21.86774193548387,32.45903225806452,27.163387096774194,688.15,87.7,16,9,1.0613404497375174,71.28903225806452
harrisburg_neerec,1987,august,17.14,22.71258064516129,35.211612903225806,28.962096774193547,637.26,64.23,25,18,1.6353117237419965,59.535806451612906
harrisburg_neerec,1987,september,11.92,17.615666666666666,31.348333333333333,24.482,533.4,59,16,2,1.3204924969509997,57.22233333333333
harrisburg_neerec,1988,april,3.02,8.229,21.562666666666665,14.895833333333334,572.76,79.03,0,0,0.4243001697302222,74.653
harrisburg_neerec,1988,may,7.39,13.23741935483871,26.823225806451614,20.030322580645162,713.6,61.51,0,0,0.7322921748908819,69.12774193548387
harrisburg_neerec,1988,june,10.63,18.432,33.33733333333333,25.884666666666668,744.32,15.15,22,11,1.6840714983109124,51.276333333333334
