"location","year","longitude","latitude","mean_mint","mean_maxt","avg_t","nightT","dayT","nightT_irr","nightT_elev","mint_hr","night_agree","n_night_hr","n_day_hr","n_days","n_missing","night_minus_mint"
"Des_Arc",2010,-91.5615074307822,34.9220284006714,23.3,33.3,28.3,25.1154426229508,30.4388056206089,25.1154426229508,24.7682068965517,23.2734426229508,0.937158469945355,610,854,61,0,1.81544262295082
"Des_Arc",2011,-91.5615074307822,34.9220284006714,23.4,34.5,28.9,25.4827704918033,31.2051170960187,25.4827704918033,25.1309310344828,23.3939344262295,0.937158469945355,610,854,61,0,2.08277049180328
"Des_Arc",2012,-91.5615074307822,34.9220284006714,22.2,35,28.6,24.596,31.1730714285714,24.596,24.2828371278459,22.267,0.936805555555556,600,840,60,0,2.396
"Des_Arc",2013,-91.5615074307822,34.9220284006714,20.7,31.8,26.3,22.8839180327869,28.5394262295082,22.8839180327869,22.5244137931034,20.8172131147541,0.937158469945355,610,854,61,0,2.18391803278688
"Des_Arc",2014,-91.5615074307822,34.9220284006714,20.2,29.5,24.8,22.1035573770492,26.7014168618267,22.1035573770492,21.7542413793103,20.3396721311475,0.937158469945355,610,854,61,0,1.90355737704918
"Des_Arc",2015,-91.5615074307822,34.9220284006714,22.9,32.7,27.8,24.5365901639344,29.6148360655738,24.5365901639344,24.2943965517241,22.8652459016393,0.937158469945355,610,854,61,0,1.63659016393443
"Des_Arc",2017,-91.5615074307822,34.9220284006714,21.4,31.6,26.5,23.4457868852459,28.657318501171,23.4457868852459,23.1696206896552,21.5513114754098,0.937158469945355,610,854,61,0,2.0457868852459
"Des_Arc",2018,-91.5615074307822,34.9220284006714,22.8,33.1,28,24.9369016393443,30.1042154566745,24.9369016393443,24.5989137931034,22.9701639344262,0.937158469945355,610,854,61,0,2.13690163934426
"Des_Arc",2019,-91.5615074307822,34.9220284006714,21.2,29.6,25.4,22.9232295081967,27.2599531615925,22.9232295081967,22.698775862069,21.3781967213115,0.937158469945355,610,854,61,0,1.72322950819672
"Des_Arc",2021,-91.5615074307822,34.9220284006714,21.4,30.2,25.8,23.2126065573771,27.6907845433255,23.2126065573771,22.9446551724138,21.5947540983607,0.937158469945355,610,854,61,0,1.81260655737705
"Harrisburg",2022,-90.7097209153416,35.6583094086273,NA,NA,NA,24.0520655737705,29.7496955503513,24.0520655737705,23.7672934973638,21.9611475409836,0.944672131147541,610,854,61,0,NA
"Harrisburg",2023,-90.7097209153416,35.6583094086273,21,31.7,26.3,23.0488196721311,28.4709484777518,23.0488196721311,22.7732688927944,21.0988524590164,0.944672131147541,610,854,61,0,2.04881967213115
