"model","beta_std","kg_per_SD","sd_C","kg_per_C","pct_per_C","p_value","AIC","RMSE","n"
"mean_mint (Tmin, paper)",-0.327040499659301,-545.117744528599,1.08459286189402,-502.6012651205,-3.65822317010286,1.14764262350881e-71,80373.3390446845,1355.84721446546,4663
"nightT (dark-period)",-0.436935050294891,-728.292212647575,1.1366410063545,-640.740751544232,-4.66368237805024,7.98242777976763e-85,80302.4878482547,1344.9116967665,4663
