"state","site","lat","label","mean_tmin","abs_dec","abs_ci_lo","abs_ci_hi","p_value","sen_dec","rel_dec","rel_ci_lo","rel_ci_hi","r2","n_years","sig","legend"
"TX","College Station",30.628,"TX - College Station (30.6 N)",23.1372786885246,0.327963886909004,0.166266855276841,0.489660918541167,0.000185427827067405,0.310013878046666,1.41746957939208,0.718610245894233,2.11632891288993,0.280108265098867,45,"***","TX - College Station (30.6 N)  +0.33 C/dec (+1.4%/dec) ***"
"AR","Keiser",35.676,"AR - Keiser (35.7 N)",21.0927723132969,0.29732780405624,0.100833948401759,0.493821659710722,0.00389220885034609,0.326546300398759,1.40961936932683,0.478049764649442,2.34118897400422,0.178012025805836,45,"**","AR - Keiser (35.7 N)  +0.30 C/dec (+1.4%/dec) **"
"MO","Columbia",38.952,"MO - Columbia (39.0 N)",18.9906265938069,0.383180198276417,0.169258458327592,0.597101938225241,0.000788853886889542,0.368395429706905,2.01773330850166,0.89127368963586,3.14419292736746,0.232813436029542,45,"***","MO - Columbia (39.0 N)  +0.38 C/dec (+2.0%/dec) ***"
"IA","Ames",42.03,"IA - Ames (42.0 N)",16.9765063752277,0.404440916650465,0.159627701390505,0.649254131910426,0.00178131560255026,0.425148377650535,2.38235657980037,0.940285933173125,3.82442722642761,0.205174367056729,45,"**","IA - Ames (42.0 N)  +0.40 C/dec (+2.4%/dec) **"
"MN","Waseca",44.073,"MN - Waseca (44.1 N)",15.5927504553734,0.37380569774725,0.118824719894735,0.628786675599765,0.00503585195434595,0.415611301267039,2.39730443206338,0.762051058501913,4.03255780562485,0.168935778021083,45,"**","MN - Waseca (44.1 N)  +0.37 C/dec (+2.4%/dec) **"
