"state","site","lat","label","slope_dec","ci_lo_dec","ci_hi_dec","se_dec","p_value","sen_dec","r2","mean_nightT","n_years","sig","legend"
"TX","College Station",30.628,"TX - College Station (30.6 N)",0.343958691355575,-0.291331610951673,0.979248993662823,0.307102682970604,0.274268470731253,0.193345918480337,0.0517195023662069,25.2382790236171,25,"ns","TX - College Station (30.6 N)  +0.34 C/dec ns"
"AR","Keiser",35.676,"AR - Keiser (35.7 N)",0.389218867171081,-0.106792072382752,0.885229806724914,0.239774304387354,0.11815940192979,0.304558182341098,0.102789552463055,23.373727726776,25,"ns","AR - Keiser (35.7 N)  +0.39 C/dec ns"
"MO","Columbia",38.952,"MO - Columbia (39.0 N)",0.508288414799772,-0.067903163727976,1.08447999332752,0.278534048179693,0.081037420809856,0.530686664658626,0.126476692866946,21.5660885831327,25,"ns","MO - Columbia (39.0 N)  +0.51 C/dec ns"
"IA","Ames",42.03,"IA - Ames (42.0 N)",0.48785971692432,-0.19594938715811,1.17166882100675,0.330556927660886,0.153538536332591,0.542985099170209,0.0865112813413593,19.7314802007927,25,"ns","IA - Ames (42.0 N)  +0.49 C/dec ns"
"MN","Waseca",44.073,"MN - Waseca (44.1 N)",0.283076131925732,-0.354193277139811,0.920345540991275,0.308059393616352,0.367684207527277,0.312365445348588,0.0354120909160497,18.4808539569517,25,"ns","MN - Waseca (44.1 N)  +0.28 C/dec ns"
